CID	Dom_Name	Enri	Depl	Freq.x	Freq.y	val	Class
1.10.1000.11	Arf Nucleotide-binding Site Opener,domain 2	0.000764818355640535	0.000673801030519223	2	17	YES	Mainly Alpha
1.10.10.10	winged helix repressor DNA binding domain	0.00650095602294455	0.0109789932619897	17	277	NO	Mainly Alpha
1.10.10.140	Cytochrome C oxidase subunit h	0.000382409177820268	0.0001585414189457	1	4	YES	Mainly Alpha
1.10.10.440		0.000764818355640535	0.000990883868410622	2	25	NO	Mainly Alpha
1.10.10.490	beta-catenin-interacting protein ICAT, Chain B, ?????domain1	0.000382409177820268	0.000118906064209275	1	3	YES	Mainly Alpha
1.10.10.520	Ubiquitin activating enzymes (Uba3). Chain: B, domain 2	0.000382409177820268	0.000515259611573524	1	13	NO	Mainly Alpha
1.10.10.60	Homeodomain-like	0.00305927342256214	0.00531113753468094	8	134	NO	Mainly Alpha
1.10.1060.10	Fumarate Reductase Iron-sulfur Protein; Chain B, domain 2	0.000382409177820268	0.000118906064209275	1	3	YES	Mainly Alpha
1.10.10.670	photosystem ii from thermosynechococcus elongatus 	0.00382409177820268	0.00499405469678954	10	126	NO	Mainly Alpha
1.10.1070.11	Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 5	0.000382409177820268	0.000990883868410622	1	25	NO	Mainly Alpha
1.10.10.750	Ypt/Rab-GAP domain of gyp1p 	0.000382409177820268	0.000990883868410622	1	25	NO	Mainly Alpha
1.10.1200.60		0.000382409177820268	0.000198176773682124	1	5	YES	Mainly Alpha
1.10.12.10	Lyase 2-enoyl-coa Hydratase, Chain  A, domain 2	0.000382409177820268	0.000237812128418549	1	6	YES	Mainly Alpha
1.10.132.10		0.000382409177820268	0.000356718192627824	1	9	YES	Mainly Alpha
1.10.1370.10	Neurolysin, domain 3	0.000382409177820268	0.000356718192627824	1	9	YES	Mainly Alpha
1.10.1410.20	2'-5'-oligoadenylate synthetase 1, domain 2	0.000382409177820268	0.000435988902100674	1	11	NO	Mainly Alpha
1.10.1450.10	Tetraspanin	0.000764818355640535	0.000990883868410622	2	25	NO	Mainly Alpha
1.10.1490.10	C-terminal domain of DFF45/ICAD (DFF-C domain)	0.0011472275334608	0.000198176773682124	3	5	YES	Mainly Alpha
1.10.150.160		0.000764818355640535	0.00118906064209275	2	30	NO	Mainly Alpha
1.10.150.20	5' to 3' exonuclease, C-terminal subdomain	0.0011472275334608	0.000990883868410622	3	25	YES	Mainly Alpha
1.10.150.50	Transcription Factor, Ets-1	0.00152963671128107	0.00206103844629409	4	52	NO	Mainly Alpha
1.10.150.80		0.000382409177820268	0.000198176773682124	1	5	YES	Mainly Alpha
1.10.1520.10		0.000382409177820268	0.000435988902100674	1	11	NO	Mainly Alpha
1.10.1540.10	BEACH domain	0.000382409177820268	0.000594530321046373	1	15	NO	Mainly Alpha
1.10.1620.20		0.000382409177820268	3.96353547364249e-05	1	1	YES	Mainly Alpha
1.10.1650.10		0.000382409177820268	0.000237812128418549	1	6	YES	Mainly Alpha
1.10.168.10	Phosducin, domain 2	0.000382409177820268	0.0001585414189457	1	4	YES	Mainly Alpha
1.10.1820.10	protein kinase ck2 holoenzyme, chain C, domain 1	0.000764818355640535	7.92707094728498e-05	2	2	YES	Mainly Alpha
1.10.20.10	Histone, subunit A	0.00305927342256214	0.00245739199365834	8	62	YES	Mainly Alpha
1.10.220.10		0.00305927342256214	0.00321046373365042	8	81	NO	Mainly Alpha
1.10.220.20		0.000764818355640535	0.000554894966309949	2	14	YES	Mainly Alpha
1.10.225.10	Saposin	0.00152963671128107	0.000753071739992073	4	19	YES	Mainly Alpha
1.10.238.10	EF-hand	0.00994263862332696	0.00951248513674197	26	240	YES	Mainly Alpha
1.10.238.110	Diacylglycerol kinase alpha.	0.000382409177820268	0.000277447483154974	1	7	YES	Mainly Alpha
1.10.246.60	Eukaryotic translation initiation factor 3 like domains	0.000382409177820268	0.000237812128418549	1	6	YES	Mainly Alpha
1.10.260.40	lambda repressor-like DNA-binding domains	0.000382409177820268	0.000594530321046373	1	15	NO	Mainly Alpha
1.10.275.10	Fumarase/aspartase (N-terminal domain)	0.000382409177820268	0.000356718192627824	1	9	YES	Mainly Alpha
1.10.287.10		0.000382409177820268	0.000673801030519223	1	17	NO	Mainly Alpha
1.10.287.1090	Dimerisation domain of CENP-B	0.000382409177820268	7.92707094728498e-05	1	2	YES	Mainly Alpha
1.10.287.110		0.000764818355640535	0.00217994451050337	2	55	NO	Mainly Alpha
1.10.287.1130	CytochromE C oxidase copper chaperone	0.000382409177820268	0.000396353547364249	1	10	NO	Mainly Alpha
1.10.287.1150	TPP helical domain	0.000764818355640535	0.000237812128418549	2	6	YES	Mainly Alpha
1.10.287.160	HR1 repeat	0.000382409177820268	0.000594530321046373	1	15	NO	Mainly Alpha
1.10.287.310		0.000382409177820268	0.000317082837891399	1	8	YES	Mainly Alpha
1.10.287.370		0.00229445506692161	0.00134760206103845	6	34	YES	Mainly Alpha
1.10.287.510	Helix hairpin bin	0.00229445506692161	0.00118906064209275	6	30	YES	Mainly Alpha
1.10.287.600	Helix hairpin bin	0.000382409177820268	0.000673801030519223	1	17	NO	Mainly Alpha
1.10.287.620	Helix Hairpins	0.00305927342256214	0.00233848592944907	8	59	YES	Mainly Alpha
1.10.287.650	Helix hairpin bin	0.000382409177820268	0.000356718192627824	1	9	YES	Mainly Alpha
1.10.287.810	Mitochondrial import inner membrane translocase subunit tim13 like domains	0.000382409177820268	0.000237812128418549	1	6	YES	Mainly Alpha
1.10.287.890	Crystal structure of tRNA isopentenylpyrophosphate transferase (bh2366) domain	0.000382409177820268	3.96353547364249e-05	1	1	YES	Mainly Alpha
1.10.287.950	Methyl-accepting chemotaxis protein	0.000382409177820268	0.000198176773682124	1	5	YES	Mainly Alpha
1.10.287.990	Fe,Mn superoxide dismutase (SOD) domain	0.000382409177820268	0.000356718192627824	1	9	YES	Mainly Alpha
1.10.30.10	DNA Binding (I), subunit A	0.00497131931166348	0.00273483947681332	13	69	YES	Mainly Alpha
1.10.3080.10	Clc chloride channel	0.000382409177820268	0.000475624256837099	1	12	NO	Mainly Alpha
