CID	Dom_Name	Enri	Depl	Freq.x	Freq.y	val	Class
1.10.10.10	winged helix repressor DNA binding domain	0.00826446280991736	0.0111445120610015	12	152	NO	Mainly Alpha
1.10.10.140	Cytochrome C oxidase subunit h	0.00137741046831956	0.000366595791480314	2	5	YES	Mainly Alpha
1.10.10.250		0.00206611570247934	0.000733191582960628	3	10	YES	Mainly Alpha
1.10.1040.10	N-(1-d-carboxylethyl)-l-norvaline Dehydrogenase; domain 2	0.00206611570247934	0.00109978737444094	3	15	YES	Mainly Alpha
1.10.10.41	Yeast DNA topoisomerase - domain 1	0.00068870523415978	0.000219957474888188	1	3	YES	Mainly Alpha
1.10.10.440		0.00068870523415978	0.001173106532737	1	16	NO	Mainly Alpha
1.10.10.60	Homeodomain-like	0.00206611570247934	0.00755187330449446	3	103	NO	Mainly Alpha
1.10.10.670	photosystem ii from thermosynechococcus elongatus 	0.00619834710743802	0.00417919202287558	9	57	YES	Mainly Alpha
1.10.12.10	Lyase 2-enoyl-coa Hydratase, Chain  A, domain 2	0.00137741046831956	0.000293276633184251	2	4	YES	Mainly Alpha
1.10.1450.10	Tetraspanin	0.00137741046831956	0.00109978737444094	2	15	YES	Mainly Alpha
1.10.150.160		0.00206611570247934	0.00153970232421732	3	21	YES	Mainly Alpha
1.10.150.20	5' to 3' exonuclease, C-terminal subdomain	0.00068870523415978	0.00124642569103307	1	17	NO	Mainly Alpha
1.10.150.310	Tex RuvX-like domain-like	0.00068870523415978	0.000146638316592126	1	2	YES	Mainly Alpha
1.10.150.50	Transcription Factor, Ets-1	0.00068870523415978	0.00219957474888188	1	30	NO	Mainly Alpha
1.10.150.80		0.00068870523415978	0.000146638316592126	1	2	YES	Mainly Alpha
1.10.1580.10		0.00068870523415978	0.000513234108072439	1	7	YES	Mainly Alpha
1.10.167.10	Regulator of G-protein Signalling 4, domain 2	0.00137741046831956	0.000366595791480314	2	5	YES	Mainly Alpha
1.10.168.10	Phosducin, domain 2	0.00068870523415978	0.000293276633184251	1	4	YES	Mainly Alpha
1.10.1820.10	protein kinase ck2 holoenzyme, chain C, domain 1	0.00068870523415978	0.000219957474888188	1	3	YES	Mainly Alpha
1.10.196.10		0.00068870523415978	0.000439914949776377	1	6	YES	Mainly Alpha
1.10.20.10	Histone, subunit A	0.00206611570247934	0.00623212845516534	3	85	NO	Mainly Alpha
1.10.220.10		0.00413223140495868	0.00234621306547401	6	32	YES	Mainly Alpha
1.10.225.10	Saposin	0.00206611570247934	0.00080651074125669	3	11	YES	Mainly Alpha
1.10.238.10	EF-hand	0.00550964187327824	0.00916489478700785	8	125	NO	Mainly Alpha
1.10.260.40	lambda repressor-like DNA-binding domains	0.00068870523415978	0.000659872424664565	1	9	YES	Mainly Alpha
1.10.268.10	Topoisomerase, domain 3	0.00068870523415978	0.000659872424664565	1	9	YES	Mainly Alpha
1.10.275.10	Fumarase/aspartase (N-terminal domain)	0.00068870523415978	0.000293276633184251	1	4	YES	Mainly Alpha
1.10.287.10		0.00137741046831956	0.00102646821614488	2	14	YES	Mainly Alpha
1.10.287.110		0.0034435261707989	0.00307940464843464	5	42	YES	Mainly Alpha
1.10.287.1130	CytochromE C oxidase copper chaperone	0.00206611570247934	0.000513234108072439	3	7	YES	Mainly Alpha
1.10.287.370		0.00068870523415978	0.00190629811569763	1	26	NO	Mainly Alpha
1.10.287.510	Helix hairpin bin	0.00068870523415978	0.000659872424664565	1	9	YES	Mainly Alpha
1.10.287.540	Helix hairpin bin	0.00068870523415978	0.000146638316592126	1	2	YES	Mainly Alpha
1.10.287.600	Helix hairpin bin	0.00068870523415978	0.00109978737444094	1	15	NO	Mainly Alpha
1.10.287.620	Helix Hairpins	0.00137741046831956	0.00219957474888188	2	30	NO	Mainly Alpha
1.10.287.810	Mitochondrial import inner membrane translocase subunit tim13 like domains	0.00068870523415978	0.000733191582960628	1	10	NO	Mainly Alpha
1.10.287.990	Fe,Mn superoxide dismutase (SOD) domain	0.00137741046831956	0.000513234108072439	2	7	YES	Mainly Alpha
1.10.290.10	Topoisomerase I, domain 4	0.00068870523415978	0.000146638316592126	1	2	YES	Mainly Alpha
1.10.30.10	DNA Binding (I), subunit A	0.00068870523415978	0.00388591538969133	1	53	NO	Mainly Alpha
1.10.3370.10	Preprotein translocase SecY subunit domain	0.00137741046831956	0.000439914949776377	2	6	YES	Mainly Alpha
1.10.3860.10	Proton glutamate symport protein	0.00068870523415978	0.000586553266368502	1	8	YES	Mainly Alpha
1.10.405.10	Guanine Nucleotide Dissociation Inhibitor, domain 1	0.00068870523415978	0.000146638316592126	1	2	YES	Mainly Alpha
1.10.455.10	Ribosomal Protein S7;	0.00068870523415978	0.000953149057848816	1	13	NO	Mainly Alpha
1.10.472.10		0.00137741046831956	0.00278612801525038	2	38	NO	Mainly Alpha
1.10.510.10	Transferase(Phosphotransferase) domain 1	0.0103305785123967	0.0282278759439842	15	385	NO	Mainly Alpha
1.10.520.20	N-terminal domain of the delta subunit of the F1F0-ATP synthase	0.00068870523415978	7.33191582960628e-05	1	1	YES	Mainly Alpha
1.10.540.10	Butyryl-Coa Dehydrogenase, subunit A, domain 1	0.00068870523415978	0.000586553266368502	1	8	YES	Mainly Alpha
1.10.560.10	GROEL, domain 1	0.0068870523415978	0.00439914949776377	10	60	YES	Mainly Alpha
1.10.580.10	Citrate Synthase, domain 1	0.00068870523415978	0.000439914949776377	1	6	YES	Mainly Alpha
1.10.600.10	Farnesyl Diphosphate Synthase	0.00137741046831956	0.00131974484932913	2	18	YES	Mainly Alpha
1.10.720.30		0.00068870523415978	0.00153970232421732	1	21	NO	Mainly Alpha
1.10.8.10	DNA helicase RuvA subunit, C-terminal domain	0.00413223140495868	0.00263948969865826	6	36	YES	Mainly Alpha
1.10.8.300	putative atpase (yp_676785.1)	0.00068870523415978	0.000439914949776377	1	6	YES	Mainly Alpha
1.10.8.360	3,6-anhydro-alpha-l-galactosidase	0.00068870523415978	0.000146638316592126	1	2	YES	Mainly Alpha
1.10.8.60		0.00137741046831956	0.00344600043991495	2	47	NO	Mainly Alpha
1.20.1020.10	CREB-binding Protein; Chain A	0.00068870523415978	0.000219957474888188	1	3	YES	Mainly Alpha
1.20.1050.10		0.00550964187327824	0.00241953222377007	8	33	YES	Mainly Alpha
