1	Mainly Alpha
2	Mainly Beta
3	Alpha Beta
4	Few Secondary Structures
1.10	Orthogonal Bundle
1.20	Up-down Bundle
1.25	Alpha Horseshoe
1.40	Alpha solenoid
1.50	Alpha/alpha barrel
2.10	Ribbon
2.20	Single Sheet
2.30	Roll
2.40	Beta Barrel
2.50	Clam
2.60	Sandwich
2.70	Distorted Sandwich
2.80	Trefoil
2.90	Orthogonal Prism
2.100	Aligned Prism
2.102	3-layer Sandwich
2.105	3 Propellor
2.110	4 Propellor
2.115	5 Propellor
2.120	6 Propellor
2.130	7 Propellor
2.140	8 Propellor
2.150	2 Solenoid
2.160	3 Solenoid
2.170	Beta Complex
3.10	Roll
3.15	Super Roll
3.20	Alpha-Beta Barrel
3.30	2-Layer Sandwich
3.40	3-Layer(aba) Sandwich
3.50	3-Layer(bba) Sandwich
3.55	3-Layer(bab) Sandwich
3.60	4-Layer Sandwich
3.65	Alpha-beta prism
3.70	Box
3.75	5-stranded Propeller
3.80	Alpha-Beta Horseshoe
3.90	Alpha-Beta Complex
3.100	Ribosomal Protein L15; Chain: K; domain 2
4.10	Irregular
1.10.8	Helicase, Ruva Protein; domain 3
1.10.10	Arc Repressor Mutant, subunit A
1.10.12	Lyase 2-enoyl-coa Hydratase; Chain  A, domain 2
1.10.15	3-methyladenine DNA Glycosylase II; Chain A, domain 3
1.10.20	Histone, subunit A
1.10.30	DNA Binding (I), subunit A
1.10.40	Ribonucleotide Reductase Protein R1; domain 1
1.10.45	Vanillyl-alcohol Oxidase; Chain A, domain 4
1.10.60	Diphtheria Toxin Repressor; domain 2
1.10.100	Insulin-like, subunit E
1.10.101	Muramoyl-pentapeptide Carboxypeptidase; domain 1
1.10.110	Hydrophobic Seed Protein
1.10.132	Topoisomerase I; Chain A, domain 4
1.10.135	Transferase Creatine Kinase; Chain A, domain 1
1.10.140	MET Apo-Repressor, subunit A
1.10.150	DNA polymerase; domain 1
1.10.155	Chemotaxis Receptor Methyltransferase Cher; domain 1
1.10.166	Tetrahydrodipicolinate-N-succinyltransferase; Chain A, domain 1
1.10.167	Regulator of G-protein Signalling 4; domain 2
1.10.168	Phosducin; domain 2
1.10.170	Bluetongue Virus 10, subunit 1; domain 3
1.10.185	Human T-cell Leukemia Virus Type II Matrix Protein
1.10.189	Pyruvate Phosphate di-kinase; domain 2
1.10.195	Cytoplasmic domain of VPU protein
1.10.196	Regulator of G-protein Signalling 4; domain 1
1.10.210	Uteroglobin
1.10.220	Annexin V; domain 1
1.10.225	NK-Lysin
1.10.230	Cytochrome p450-Terp; domain 2
1.10.238	Recoverin; domain 1
1.10.239	Beta-cryptogein
1.10.240	Tyrosyl-Transfer RNA Synthetase
1.10.245	MDM2
1.10.246	Serum Albumin; Chain A, Domain 1
1.10.250	Bluetongue Virus 10, subunit 1; domain 1
1.10.260	434 Repressor (Amino-terminal Domain)
1.10.268	Topoisomerase; domain 3
1.10.269	Adenovirus Single-stranded Dna-binding Protein, domain 1
1.10.274	Enzyme I; Chain A, domain 2
1.10.275	Fumarase C; Chain B, domain 1
1.10.285	Glutamate Dehydrogenase; Chain A, domain 3
1.10.286	GTP Cyclohydrolase I; Chain A, domain 1
1.10.287	Helix Hairpins
1.10.288	Cobalamin-dependent Methionine Synthase; domain 2
1.10.290	Topoisomerase I; domain 4
1.10.300	Adenylosuccinate Synthetase, subunit A; domain 2
1.10.340	Endonuclease III; domain 1
1.10.357	Tetracycline Repressor; domain 2
1.10.375	Human Immunodeficiency Virus Type 1 Capsid Protein
1.10.390	Neutral Protease; domain 2
1.10.400	GI Alpha 1, domain 2-like
1.10.405	Guanine Nucleotide Dissociation Inhibitor; domain 1
1.10.418	Actin-binding Protein, T-fimbrin; domain 1
1.10.420	Peroxidase; domain 2
1.10.437	Apoptosis Regulator Bcl-x
1.10.439	Penicillin Amidohydrolase; domain 1
1.10.440	Endonuclease V
1.10.441	Phosphomannose Isomerase; domain 2
1.10.442	Cytochrome C Oxidase; Chain D
1.10.443	hpI Integrase; Chain A
1.10.455	Ribosomal Protein S7
1.10.460	Topoisomerase I; domain 2
1.10.468	Photosynthetic Reaction Center, subunit C; domain 2
1.10.470	Variant Surface Glycoprotein, subunit A; domain 2
1.10.472	Cyclin A; domain 1
1.10.486	PCRA; domain 4
1.10.489	Chloroperoxidase
1.10.490	Globin-like
1.10.506	GTPase Activation - p120GAP; domain 1
1.10.510	Transferase(Phosphotransferase); domain 1
1.10.520	Peroxidase; domain 1
1.10.530	Lysozyme
1.10.532	Transcription Factor, Stat-4
1.10.533	Death Domain, Fas
1.10.540	Butyryl-Coa Dehydrogenase, subunit A; domain 1
1.10.555	Phosphatidylinositol 3-kinase; Chain A
1.10.560	GROEL; domain 1
1.10.565	Retinoid X Receptor
