Cluster_Rep.ID	Member_ID
Seq_696410	Seq_696371,Seq_696376,Seq_696379,Seq_696381,Seq_696387,Seq_696392,Seq_696399,Seq_696402,Seq_696404,Seq_696408,Seq_696501,Seq_696503,Seq_696506,Seq_696508,Seq_696509,Seq_696618,Seq_696622,Seq_696660,Seq_696662,Seq_696665,Seq_696667,Seq_696670,Seq_696672,Seq_696692,Seq_696695,Seq_696698,Seq_696701,Seq_696704,Seq_696706,Seq_696744,Seq_696748,Seq_696751,Seq_696754,Seq_696757,Seq_696759,Seq_696809,Seq_696813,Seq_696860,Seq_696861,Seq_696874,Seq_696875,Seq_696876,Seq_696942,Seq_696944,Seq_696945,Seq_696949,Seq_697029,Seq_697034,Seq_697057,Seq_697076,Seq_697081,Seq_697594
Seq_899878	Seq_899877,Seq_899890,Seq_899921,Seq_899922,Seq_899924,Seq_899927,Seq_899930,Seq_899994,Seq_899995,Seq_899998,Seq_900001,Seq_900003,Seq_900006,Seq_900068,Seq_900072,Seq_900075,Seq_900078,Seq_900080,Seq_900082,Seq_900085,Seq_900089,Seq_900092,Seq_900095,Seq_900098,Seq_900101,Seq_900174,Seq_900176,Seq_900179,Seq_900181,Seq_900183,Seq_900186,Seq_900189,Seq_900192,Seq_900258,Seq_900262,Seq_900264,Seq_900267,Seq_900270,Seq_900273,Seq_900300,Seq_900303,Seq_900305,Seq_900306,Seq_900308,Seq_900311,Seq_900313,Seq_900316
Seq_294733	Seq_294732,Seq_294750,Seq_294753,Seq_294758,Seq_294759,Seq_294991,Seq_294996,Seq_295191,Seq_295195,Seq_295196,Seq_295201,Seq_295202,Seq_295203,Seq_295204,Seq_295206,Seq_295207,Seq_295208,Seq_295212,Seq_295213,Seq_295214,Seq_295235,Seq_295238,Seq_295239,Seq_295240,Seq_295241,Seq_295242,Seq_295243,Seq_295247,Seq_295249,Seq_295251,Seq_295254,Seq_295257,Seq_295259,Seq_295268,Seq_295270,Seq_295271,Seq_295273,Seq_295276,Seq_295277,Seq_295278,Seq_295283,Seq_295284,Seq_295286,Seq_295287,Seq_295290,Seq_295294
Seq_899971	Seq_899940,Seq_899943,Seq_899949,Seq_899955,Seq_899958,Seq_899961,Seq_899964,Seq_899967,Seq_899970,Seq_900018,Seq_900022,Seq_900027,Seq_900030,Seq_900033,Seq_900035,Seq_900038,Seq_900041,Seq_900044,Seq_900047,Seq_900111,Seq_900116,Seq_900120,Seq_900123,Seq_900126,Seq_900129,Seq_900132,Seq_900136,Seq_900201,Seq_900207,Seq_900211,Seq_900213,Seq_900216,Seq_900219,Seq_900222,Seq_900225,Seq_900324
Seq_961154	Seq_961145,Seq_961150,Seq_961153,Seq_961193,Seq_961197,Seq_961218,Seq_961258,Seq_961261,Seq_961264,Seq_961306,Seq_961329,Seq_961330,Seq_961333,Seq_961337,Seq_961374,Seq_961376,Seq_961411,Seq_961413,Seq_961416,Seq_961419,Seq_961422,Seq_961425,Seq_961455,Seq_961457,Seq_961459,Seq_961462,Seq_961465,Seq_961506,Seq_961509,Seq_961512,Seq_961514,Seq_961517,Seq_961520,Seq_961523
Seq_802779	Seq_802775,Seq_802778,Seq_802790,Seq_802795,Seq_802796,Seq_802820,Seq_802822,Seq_802823,Seq_802828,Seq_802830,Seq_802832,Seq_802858,Seq_802860,Seq_802861,Seq_802867,Seq_802869,Seq_802871,Seq_802872,Seq_802911,Seq_802913,Seq_802914,Seq_802917,Seq_802922,Seq_802923,Seq_802925,Seq_802952,Seq_802955,Seq_802957,Seq_802958,Seq_802960,Seq_802962,Seq_802963
Seq_1404577	Seq_1404563,Seq_1404566,Seq_1404569,Seq_1404572,Seq_1404575,Seq_1404610,Seq_1404613,Seq_1404616,Seq_1404619,Seq_1404622,Seq_1404625,Seq_1404673,Seq_1404676,Seq_1404679,Seq_1404682,Seq_1404719,Seq_1404721,Seq_1404725,Seq_1404728,Seq_1404731,Seq_1404734,Seq_1404737,Seq_1404774,Seq_1404777,Seq_1404780,Seq_1404807,Seq_1405239,Seq_1405242,Seq_1405244,Seq_1405255,Seq_1405256,Seq_1405262
Seq_674726	Seq_674710,Seq_674713,Seq_674717,Seq_674718,Seq_674721,Seq_674747,Seq_674751,Seq_674754,Seq_674756,Seq_674907,Seq_674909,Seq_674910,Seq_674911,Seq_674912,Seq_674974,Seq_674979,Seq_674981,Seq_674984,Seq_674989,Seq_675158,Seq_675160,Seq_675162,Seq_675164,Seq_675166,Seq_675171,Seq_675185,Seq_675187,Seq_675190,Seq_675195,Seq_675198,Seq_675203
Seq_108910	Seq_108903,Seq_108954,Seq_108957,Seq_108960,Seq_108963,Seq_108966,Seq_109024,Seq_109027,Seq_109030,Seq_109033,Seq_109036,Seq_109039,Seq_109124,Seq_109127,Seq_109130,Seq_109133,Seq_109136,Seq_109139,Seq_109229,Seq_109232,Seq_109235,Seq_109238,Seq_109241,Seq_109244,Seq_109247,Seq_109330,Seq_109333,Seq_109336,Seq_109339,Seq_109386,Seq_109390
Seq_531346	Seq_531337,Seq_531338,Seq_531339,Seq_531340,Seq_531341,Seq_531342,Seq_531343,Seq_531347,Seq_531357,Seq_531362,Seq_531365,Seq_531367,Seq_531370,Seq_531372,Seq_531375,Seq_531378,Seq_531380,Seq_531415,Seq_531417,Seq_531420,Seq_531422,Seq_531425,Seq_531447,Seq_531449,Seq_531451,Seq_531629
