Cluster_Rep.ID	Member_ID
Seq_856715	Seq_856682,Seq_856684,Seq_856687,Seq_856693,Seq_856697,Seq_856700,Seq_856705,Seq_856709,Seq_856712,Seq_856769,Seq_856773,Seq_856774,Seq_856854,Seq_856857,Seq_856859,Seq_856862,Seq_856864,Seq_856917,Seq_856920,Seq_856928,Seq_856943,Seq_856944,Seq_856946,Seq_856948,Seq_856950,Seq_857003,Seq_857005,Seq_857011,Seq_857080,Seq_857096,Seq_857105,Seq_857108,Seq_857110,Seq_857114,Seq_857118,Seq_857195,Seq_857199,Seq_857212,Seq_857214,Seq_857216,Seq_857219,Seq_857222,Seq_857229,Seq_857231,Seq_857232,Seq_857234,Seq_857306,Seq_857325,Seq_857331,Seq_857337,Seq_857340,Seq_857342,Seq_857343,Seq_857346,Seq_857351,Seq_857452,Seq_857456,Seq_857483,Seq_857486,Seq_857492,Seq_857495,Seq_857497,Seq_857499,Seq_857555,Seq_857562,Seq_857571,Seq_857576,Seq_857578,Seq_857580,Seq_857583,Seq_857586,Seq_857592,Seq_857596,Seq_857597,Seq_857680,Seq_857692,Seq_857705,Seq_857711,Seq_857714,Seq_857717,Seq_857720,Seq_857723,Seq_857727,Seq_857729,Seq_857731,Seq_857735,Seq_857847,Seq_857848,Seq_857855,Seq_857856,Seq_857858,Seq_857861,Seq_857864,Seq_857871,Seq_857873,Seq_857944,Seq_857948,Seq_857952,Seq_857954,Seq_857959,Seq_857964,Seq_857968,Seq_857970,Seq_857980,Seq_857981,Seq_858048,Seq_858059,Seq_858061,Seq_858062,Seq_858065,Seq_858068,Seq_858075,Seq_858206,Seq_858211,Seq_858216,Seq_858221,Seq_858224,Seq_858229,Seq_858231,Seq_858235,Seq_858236,Seq_858240,Seq_858328,Seq_858329,Seq_858331,Seq_858336,Seq_858341,Seq_858347,Seq_858355,Seq_858357,Seq_858359,Seq_858361,Seq_858365,Seq_858448,Seq_858449,Seq_858452,Seq_858490,Seq_858497,Seq_858499,Seq_858501,Seq_858502,Seq_858504,Seq_858505,Seq_858508,Seq_858510,Seq_858511,Seq_858514,Seq_858566,Seq_858630,Seq_858634,Seq_858635,Seq_858671,Seq_858672,Seq_858676,Seq_858711,Seq_858721,Seq_858738,Seq_858765,Seq_858768,Seq_858769,Seq_858771,Seq_858772,Seq_858774,Seq_858776,Seq_858822,Seq_858842,Seq_858844,Seq_858853,Seq_858872,Seq_858966,Seq_858999,Seq_859002,Seq_859062,Seq_859076,Seq_859078,Seq_859079,Seq_859080,Seq_859092,Seq_859128
Seq_1459428	Seq_1459421,Seq_1459423,Seq_1459426,Seq_1459439,Seq_1459440,Seq_1459442,Seq_1459443,Seq_1459444,Seq_1459462,Seq_1459468,Seq_1459471,Seq_1459476,Seq_1459505,Seq_1459514,Seq_1459534,Seq_1459535,Seq_1459536,Seq_1459537,Seq_1459538,Seq_1459552,Seq_1459553,Seq_1459572,Seq_1459573,Seq_1459574,Seq_1459577,Seq_1459578,Seq_1459580,Seq_1459583,Seq_1459598,Seq_1459600,Seq_1459601,Seq_1459603,Seq_1459643,Seq_1459651,Seq_1459657,Seq_1459715,Seq_1459718,Seq_1459721,Seq_1459723,Seq_1459726,Seq_1459729,Seq_1459731,Seq_1459733,Seq_1459739,Seq_1459802,Seq_1459804,Seq_1459805,Seq_1459806,Seq_1459808,Seq_1459810,Seq_1459815,Seq_1459817,Seq_1459820,Seq_1459821,Seq_1459855,Seq_1459858,Seq_1459859,Seq_1459888,Seq_1459906,Seq_1459907,Seq_1459910,Seq_1459944,Seq_1459947,Seq_1459978,Seq_1459981,Seq_1460028,Seq_1460031,Seq_1460033,Seq_1460037,Seq_1460127,Seq_1460129,Seq_1460132,Seq_1460135,Seq_1460138,Seq_1460141,Seq_1460142,Seq_1460144,Seq_1460176,Seq_1460177,Seq_1460179,Seq_1460193,Seq_1460207,Seq_1460218,Seq_1460265,Seq_1460268,Seq_1460274,Seq_1460276,Seq_1460306,Seq_1460307,Seq_1460310,Seq_1460313,Seq_1460316,Seq_1460319,Seq_1460397,Seq_1460407,Seq_1460460,Seq_1460506,Seq_1460553,Seq_1460641,Seq_1460642,Seq_1460643,Seq_1461242,Seq_1461294
Seq_1546273	Seq_1545329,Seq_1545332,Seq_1545337,Seq_1545339,Seq_1545353,Seq_1545357,Seq_1545360,Seq_1545413,Seq_1545417,Seq_1545419,Seq_1545447,Seq_1545450,Seq_1545452,Seq_1545477,Seq_1545481,Seq_1545483,Seq_1545487,Seq_1545544,Seq_1545546,Seq_1545549,Seq_1545552,Seq_1545556,Seq_1545559,Seq_1545576,Seq_1545577,Seq_1545583,Seq_1545589,Seq_1545590,Seq_1545614,Seq_1545615,Seq_1545617,Seq_1545641,Seq_1545648,Seq_1546271,Seq_1546295,Seq_1546300,Seq_1546387,Seq_1546388,Seq_1546412,Seq_1546415,Seq_1546423,Seq_1546428,Seq_1546432,Seq_1546439,Seq_1546440,Seq_1546442,Seq_1546473,Seq_1546475,Seq_1546537,Seq_1546543,Seq_1546565,Seq_1546566,Seq_1546569,Seq_1546570,Seq_1546601,Seq_1546604,Seq_1546607,Seq_1546610,Seq_1546614,Seq_1546641,Seq_1546644,Seq_1546649,Seq_1546651,Seq_1546653,Seq_1546654,Seq_1546670,Seq_1546684,Seq_1546714,Seq_1546717,Seq_1546719,Seq_1546723,Seq_1546752,Seq_1546759,Seq_1546766,Seq_1546782,Seq_1546786,Seq_1546795,Seq_1546831,Seq_1546834,Seq_1546836,Seq_1546839,Seq_1546841,Seq_1546916,Seq_1546919,Seq_1546934,Seq_1546946,Seq_1546949,Seq_1546979,Seq_1547003,Seq_1547047,Seq_1547196,Seq_1547241,Seq_1547442
Seq_906953	Seq_906952,Seq_906969,Seq_906977,Seq_906979,Seq_906989,Seq_907007,Seq_907010,Seq_907027,Seq_907072,Seq_907073,Seq_907074,Seq_907085,Seq_907087,Seq_907089,Seq_907109,Seq_907120,Seq_907124,Seq_907127,Seq_907160,Seq_907162,Seq_907167,Seq_907168,Seq_907169,Seq_907171,Seq_907175,Seq_907218,Seq_907221,Seq_907238,Seq_907240,Seq_907243,Seq_907245,Seq_907248,Seq_907265,Seq_907295,Seq_907297,Seq_907322,Seq_907324,Seq_907326,Seq_907328,Seq_907331,Seq_907366,Seq_907369,Seq_907371,Seq_907373,Seq_907376,Seq_907378,Seq_907396,Seq_907397,Seq_907452,Seq_907454,Seq_907456,Seq_907458,Seq_907464,Seq_907466,Seq_907541,Seq_907543,Seq_907545,Seq_907547,Seq_907594,Seq_907600,Seq_907603,Seq_907606,Seq_907695,Seq_907704,Seq_907707,Seq_907792,Seq_907794,Seq_907796,Seq_907821,Seq_907822,Seq_907826,Seq_907829,Seq_907831,Seq_907852,Seq_907863,Seq_907864,Seq_907929,Seq_907950,Seq_907960,Seq_907963,Seq_907989,Seq_907992,Seq_908031,Seq_908106,Seq_908297,Seq_908321,Seq_908332,Seq_908333,Seq_908354
Seq_1489575	Seq_1489517,Seq_1489523,Seq_1489526,Seq_1489530,Seq_1489537,Seq_1489547,Seq_1489556,Seq_1489560,Seq_1489567,Seq_1489569,Seq_1489571,Seq_1489637,Seq_1489640,Seq_1489644,Seq_1489647,Seq_1489649,Seq_1489708,Seq_1489716,Seq_1489727,Seq_1489730,Seq_1489733,Seq_1489738,Seq_1489742,Seq_1489805,Seq_1489808,Seq_1489810,Seq_1489812,Seq_1489814,Seq_1489815,Seq_1489817,Seq_1489835,Seq_1489837,Seq_1489839,Seq_1489851,Seq_1489855,Seq_1489858,Seq_1489930,Seq_1489931,Seq_1489934,Seq_1489935,Seq_1489937,Seq_1489943,Seq_1489946,Seq_1489949,Seq_1489951,Seq_1489957,Seq_1489963,Seq_1489965,Seq_1489967,Seq_1489972,Seq_1489993,Seq_1489995,Seq_1490026,Seq_1490029,Seq_1490035,Seq_1490038,Seq_1490040,Seq_1490044,Seq_1490049,Seq_1490054,Seq_1490055,Seq_1490062,Seq_1490088,Seq_1490097,Seq_1490113,Seq_1490148,Seq_1490205,Seq_1490209,Seq_1490215,Seq_1490218,Seq_1490222,Seq_1490228,Seq_1490232,Seq_1490241,Seq_1490252,Seq_1490259,Seq_1490268,Seq_1490277,Seq_1490278,Seq_1490281,Seq_1490282,Seq_1490289,Seq_1490341,Seq_1490345
Seq_1544082	Seq_1544069,Seq_1544072,Seq_1544075,Seq_1544078,Seq_1544080,Seq_1544103,Seq_1544106,Seq_1544119,Seq_1544122,Seq_1544125,Seq_1544126,Seq_1544128,Seq_1544132,Seq_1544135,Seq_1544137,Seq_1544138,Seq_1544141,Seq_1544142,Seq_1544170,Seq_1544172,Seq_1544174,Seq_1544192,Seq_1544196,Seq_1544214,Seq_1544216,Seq_1544217,Seq_1544226,Seq_1544261,Seq_1544265,Seq_1544294,Seq_1544296,Seq_1544298,Seq_1544343,Seq_1544345,Seq_1544348,Seq_1544351,Seq_1544354,Seq_1544357,Seq_1544360,Seq_1544367,Seq_1544418,Seq_1544421,Seq_1544424,Seq_1544427,Seq_1544429,Seq_1544431,Seq_1544485,Seq_1544488,Seq_1544490,Seq_1544530,Seq_1544533,Seq_1544538,Seq_1544541,Seq_1544545,Seq_1544548,Seq_1544579,Seq_1544580,Seq_1544585,Seq_1544589,Seq_1544592,Seq_1544594,Seq_1544622,Seq_1544625,Seq_1544628,Seq_1544630,Seq_1544631,Seq_1544653,Seq_1544655,Seq_1544656,Seq_1544659,Seq_1544661,Seq_1544699,Seq_1544730,Seq_1544742,Seq_1544746
Seq_423915	Seq_423932,Seq_423935,Seq_423938,Seq_423940,Seq_423941,Seq_423944,Seq_423951,Seq_423953,Seq_423956,Seq_423961,Seq_423963,Seq_423965,Seq_423982,Seq_423985,Seq_423987,Seq_423989,Seq_424010,Seq_424011,Seq_424014,Seq_424017,Seq_424020,Seq_424023,Seq_424025,Seq_424027,Seq_424063,Seq_424066,Seq_424069,Seq_424072,Seq_424104,Seq_424107,Seq_424110,Seq_424112,Seq_424114,Seq_424159,Seq_424160,Seq_424165,Seq_424190,Seq_424206,Seq_424210,Seq_424218,Seq_424221,Seq_424224,Seq_424225,Seq_424233,Seq_424235,Seq_424237,Seq_424238,Seq_424280,Seq_424283,Seq_424284,Seq_424285,Seq_424290,Seq_424298,Seq_424303,Seq_424306,Seq_424307,Seq_424309,Seq_424324,Seq_424349,Seq_424364,Seq_424400,Seq_424412,Seq_424415,Seq_424417,Seq_424442,Seq_424446,Seq_424448,Seq_424466,Seq_424471,Seq_424497,Seq_424502,Seq_424518,Seq_424548,Seq_424573
Seq_962433	Seq_962423,Seq_962427,Seq_962431,Seq_962453,Seq_962456,Seq_962457,Seq_962488,Seq_962490,Seq_962508,Seq_962514,Seq_962517,Seq_962550,Seq_962551,Seq_962553,Seq_962555,Seq_962561,Seq_962564,Seq_962604,Seq_962608,Seq_962636,Seq_962638,Seq_962640,Seq_962654,Seq_962655,Seq_962658,Seq_962666,Seq_962668,Seq_962693,Seq_962695,Seq_962698,Seq_962725,Seq_962792,Seq_962793,Seq_962796,Seq_962799,Seq_962803,Seq_962806,Seq_962874,Seq_962901,Seq_962914,Seq_962915,Seq_962917,Seq_962943,Seq_962967,Seq_963009,Seq_963011,Seq_963040,Seq_963043,Seq_963046,Seq_963049,Seq_963051,Seq_963055,Seq_963056,Seq_963058,Seq_963059,Seq_963080,Seq_963116,Seq_963146,Seq_963179,Seq_963189,Seq_963196,Seq_963203,Seq_963204,Seq_963238,Seq_963266,Seq_963271,Seq_963272,Seq_963590,Seq_963591,Seq_963593,Seq_963594,Seq_963597
Seq_600925	Seq_600936,Seq_600978,Seq_601013,Seq_601021,Seq_601032,Seq_601033,Seq_601038,Seq_601066,Seq_601067,Seq_601084,Seq_601087,Seq_601090,Seq_601093,Seq_601095,Seq_601112,Seq_601120,Seq_601135,Seq_601145,Seq_601174,Seq_601177,Seq_601180,Seq_601184,Seq_601207,Seq_601208,Seq_601243,Seq_601245,Seq_601284,Seq_601285,Seq_601289,Seq_601336,Seq_601340,Seq_601411,Seq_601413,Seq_601415,Seq_601416,Seq_601422,Seq_601515,Seq_601518,Seq_601520,Seq_601524,Seq_601525,Seq_601527,Seq_601530,Seq_601533,Seq_601608,Seq_601611,Seq_601614,Seq_601616,Seq_601623,Seq_601625,Seq_601732,Seq_601809,Seq_601810,Seq_601896,Seq_601945,Seq_601946,Seq_601949,Seq_602017,Seq_602101,Seq_602232,Seq_602233,Seq_602288,Seq_602290,Seq_602292,Seq_602384,Seq_602638,Seq_602660,Seq_602669,Seq_602685,Seq_602731
Seq_83964	Seq_83969,Seq_83970,Seq_83972,Seq_83975,Seq_83976,Seq_83990,Seq_83992,Seq_83993,Seq_83994,Seq_83998,Seq_84028,Seq_84030,Seq_84033,Seq_84037,Seq_84038,Seq_84040,Seq_84066,Seq_84067,Seq_84068,Seq_84069,Seq_84072,Seq_84104,Seq_84107,Seq_84109,Seq_84113,Seq_84116,Seq_84119,Seq_84121,Seq_84123,Seq_84187,Seq_84189,Seq_84190,Seq_84193,Seq_84196,Seq_84199,Seq_84202,Seq_84204,Seq_84206,Seq_84252,Seq_84255,Seq_84257,Seq_84258,Seq_84261,Seq_84264,Seq_84267,Seq_84270,Seq_84272,Seq_84322,Seq_84323,Seq_84325,Seq_84329,Seq_84331,Seq_84377,Seq_84383,Seq_84385,Seq_84386,Seq_84387,Seq_84405,Seq_84406,Seq_84408,Seq_84425,Seq_84470,Seq_84479,Seq_84506,Seq_84507,Seq_84510,Seq_84544,Seq_84545,Seq_84548
