Cluster_Rep.ID	Member_ID
Seq_1212394	Seq_1212372,Seq_1212374,Seq_1212382,Seq_1212383,Seq_1212385,Seq_1212387,Seq_1212389,Seq_1212449,Seq_1212453,Seq_1212458,Seq_1212492,Seq_1212496,Seq_1212524,Seq_1212552,Seq_1212556,Seq_1212563,Seq_1212567,Seq_1212575,Seq_1212584,Seq_1212586,Seq_1212629,Seq_1212635,Seq_1212667,Seq_1212670,Seq_1212671,Seq_1212679,Seq_1212683,Seq_1212684,Seq_1212685,Seq_1212739,Seq_1212742,Seq_1212748,Seq_1212751,Seq_1212753,Seq_1212754,Seq_1212756,Seq_1212760,Seq_1212763,Seq_1212868,Seq_1212872,Seq_1212875,Seq_1212879,Seq_1212881,Seq_1212883,Seq_1212890,Seq_1212891,Seq_1212943,Seq_1212951,Seq_1212954,Seq_1212956,Seq_1212960,Seq_1212963,Seq_1213015,Seq_1213016,Seq_1213021,Seq_1213029,Seq_1213030,Seq_1213084,Seq_1213090,Seq_1213092,Seq_1213126,Seq_1213127,Seq_1213155,Seq_1213160,Seq_1213224,Seq_1213226,Seq_1213230,Seq_1213231,Seq_1213236,Seq_1213239,Seq_1213243,Seq_1213330,Seq_1213332,Seq_1213333,Seq_1213336,Seq_1213341,Seq_1213342,Seq_1213352,Seq_1213353,Seq_1213455,Seq_1213462,Seq_1213465,Seq_1213469,Seq_1213477,Seq_1213486,Seq_1213489,Seq_1213507,Seq_1213510,Seq_1213628,Seq_1213636,Seq_1213642,Seq_1213645,Seq_1213648,Seq_1213651,Seq_1213662,Seq_1213665,Seq_1213671,Seq_1213672,Seq_1213678,Seq_1213810,Seq_1213813,Seq_1213816,Seq_1213818,Seq_1213819,Seq_1213825,Seq_1213827,Seq_1213829,Seq_1213833,Seq_1213841,Seq_1213925,Seq_1213930,Seq_1213932,Seq_1213935,Seq_1213940,Seq_1213941,Seq_1213945,Seq_1213952,Seq_1214027,Seq_1214029,Seq_1214030,Seq_1214031,Seq_1214032,Seq_1214035,Seq_1214039,Seq_1214041,Seq_1214139,Seq_1214143,Seq_1214144,Seq_1214244,Seq_1214303,Seq_1214306,Seq_1214308,Seq_1214310,Seq_1214313,Seq_1214314,Seq_1214319,Seq_1214324,Seq_1214328,Seq_1214330,Seq_1214392,Seq_1214397,Seq_1214402,Seq_1214424,Seq_1214467,Seq_1214502,Seq_1214505,Seq_1214509,Seq_1214515,Seq_1214541,Seq_1214543,Seq_1214545,Seq_1214546,Seq_1214561,Seq_1214595,Seq_1214630,Seq_1214636,Seq_1214639,Seq_1214644,Seq_1214670,Seq_1214672,Seq_1214673,Seq_1214678,Seq_1214709,Seq_1214710,Seq_1214711,Seq_1214712,Seq_1214726,Seq_1214729,Seq_1214747,Seq_1214749,Seq_1214752,Seq_1214755,Seq_1214758,Seq_1214761,Seq_1214766,Seq_1214767,Seq_1214768,Seq_1214786,Seq_1214789,Seq_1214808,Seq_1214843,Seq_1214846,Seq_1214916,Seq_1214918,Seq_1214921,Seq_1214969,Seq_1215038,Seq_1215062
Seq_1963920	Seq_1963918,Seq_1963943,Seq_1963946,Seq_1963949,Seq_1963953,Seq_1963961,Seq_1963962,Seq_1963965,Seq_1963966,Seq_1963972,Seq_1964001,Seq_1964005,Seq_1964014,Seq_1964015,Seq_1964016,Seq_1964019,Seq_1964039,Seq_1964062,Seq_1964064,Seq_1964067,Seq_1964074,Seq_1964108,Seq_1964109,Seq_1964166,Seq_1964171,Seq_1964187,Seq_1964188,Seq_1964190,Seq_1964210,Seq_1964232,Seq_1964235,Seq_1964242,Seq_1964264,Seq_1964273,Seq_1964274,Seq_1964287,Seq_1964298,Seq_1964328,Seq_1964330,Seq_1964346,Seq_1964347,Seq_1964348,Seq_1964351,Seq_1964396,Seq_1964398,Seq_1964402,Seq_1964404,Seq_1964406,Seq_1964408,Seq_1964454,Seq_1964477,Seq_1964484,Seq_1964487,Seq_1964490,Seq_1964493,Seq_1964495,Seq_1964535,Seq_1964538,Seq_1964540,Seq_1964543,Seq_1964547,Seq_1964552,Seq_1964557,Seq_1964560,Seq_1964562,Seq_1964625,Seq_1964628,Seq_1964630,Seq_1964641,Seq_1964647,Seq_1964714,Seq_1964719,Seq_1964721,Seq_1964723,Seq_1964726,Seq_1964729,Seq_1964735,Seq_1964738,Seq_1964813,Seq_1964815,Seq_1964817,Seq_1964820,Seq_1964823,Seq_1964826,Seq_1964832,Seq_1964835,Seq_1964901,Seq_1964908,Seq_1964911,Seq_1964914,Seq_1964917,Seq_1964923,Seq_1964926,Seq_1964997,Seq_1964999,Seq_1965001,Seq_1965006,Seq_1965009,Seq_1965012,Seq_1965020,Seq_1965091,Seq_1965093,Seq_1965100,Seq_1965106,Seq_1965109,Seq_1965112,Seq_1965177,Seq_1965182,Seq_1965184,Seq_1965189,Seq_1965192,Seq_1965198,Seq_1965275,Seq_1965283,Seq_1965286,Seq_1965294,Seq_1965300,Seq_1965305,Seq_1965353,Seq_1965355,Seq_1965359,Seq_1965361,Seq_1965363,Seq_1965366,Seq_1965369,Seq_1965375,Seq_1965377,Seq_1965379,Seq_1965439,Seq_1965443,Seq_1965445,Seq_1965450,Seq_1965453,Seq_1965458,Seq_1965461,Seq_1965464,Seq_1965466,Seq_1965525,Seq_1965527,Seq_1965528,Seq_1965531,Seq_1965535,Seq_1965546,Seq_1965589,Seq_1965596,Seq_1965604,Seq_1965653,Seq_1965656
Seq_2261262	Seq_2261267,Seq_2261280,Seq_2261399,Seq_2261405,Seq_2261697,Seq_2261704,Seq_2261709,Seq_2261737,Seq_2261746,Seq_2261755,Seq_2261756,Seq_2261772,Seq_2261774,Seq_2261793,Seq_2261796,Seq_2261797,Seq_2261824,Seq_2261877,Seq_2261904,Seq_2261906,Seq_2261911,Seq_2261914,Seq_2261954,Seq_2261957,Seq_2261958,Seq_2261961,Seq_2261965,Seq_2261968,Seq_2261973,Seq_2261974,Seq_2261976,Seq_2262028,Seq_2262035,Seq_2262113,Seq_2262118,Seq_2262210,Seq_2262215,Seq_2262218,Seq_2262223,Seq_2262225,Seq_2262236,Seq_2262238,Seq_2262351,Seq_2262503,Seq_2262508,Seq_2262582,Seq_2262597,Seq_2262719,Seq_2262721,Seq_2262795,Seq_2262797,Seq_2262798,Seq_2262800,Seq_2262804,Seq_2262826,Seq_2262839,Seq_2262904,Seq_2262912,Seq_2262924,Seq_2262995,Seq_2263002,Seq_2263039,Seq_2263040,Seq_2263042,Seq_2263071,Seq_2263073,Seq_2263074,Seq_2263093,Seq_2263095,Seq_2263097,Seq_2263100,Seq_2263117,Seq_2263120,Seq_2263131,Seq_2263133,Seq_2263155,Seq_2263156,Seq_2263185,Seq_2263205,Seq_2263207,Seq_2263209,Seq_2263211,Seq_2263235,Seq_2263237,Seq_2263241,Seq_2263244,Seq_2263246,Seq_2263249,Seq_2263252,Seq_2263283,Seq_2263538,Seq_2263557,Seq_2263758,Seq_2263767,Seq_2263768,Seq_2263769,Seq_2263785,Seq_2263804,Seq_2263805,Seq_2263806,Seq_2263811,Seq_2263828,Seq_2263834,Seq_2263845,Seq_2263860,Seq_2263881,Seq_2263883,Seq_2263884,Seq_2263909,Seq_2263911,Seq_2263912,Seq_2263928,Seq_2263936,Seq_2263937,Seq_2263943,Seq_2263960,Seq_2263961,Seq_2263968,Seq_2263971,Seq_2263974,Seq_2263977,Seq_2263980,Seq_2263983,Seq_2263986,Seq_2263989,Seq_2263993,Seq_2263995,Seq_2263996
Seq_2010740	Seq_2010750,Seq_2010761,Seq_2010772,Seq_2010779,Seq_2010783,Seq_2010816,Seq_2010817,Seq_2010835,Seq_2010838,Seq_2010850,Seq_2010851,Seq_2010855,Seq_2010857,Seq_2010919,Seq_2010921,Seq_2010922,Seq_2010924,Seq_2010927,Seq_2010930,Seq_2010954,Seq_2010955,Seq_2010957,Seq_2010961,Seq_2010962,Seq_2010993,Seq_2011001,Seq_2011020,Seq_2011022,Seq_2011038,Seq_2011050,Seq_2011052,Seq_2011056,Seq_2011073,Seq_2011093,Seq_2011094,Seq_2011102,Seq_2011104,Seq_2011112,Seq_2011114,Seq_2011115,Seq_2011137,Seq_2011165,Seq_2011167,Seq_2011171,Seq_2011172,Seq_2011175,Seq_2011179,Seq_2011248,Seq_2011251,Seq_2011259,Seq_2011263,Seq_2011265,Seq_2011271,Seq_2011330,Seq_2011332,Seq_2011334,Seq_2011341,Seq_2011416,Seq_2011421,Seq_2011425,Seq_2011427,Seq_2011429,Seq_2011514,Seq_2011515,Seq_2011516,Seq_2011520,Seq_2011522,Seq_2011556,Seq_2011560,Seq_2011565,Seq_2011566,Seq_2011568,Seq_2011570,Seq_2011574,Seq_2011596,Seq_2011600,Seq_2011605,Seq_2011611,Seq_2011622,Seq_2011625,Seq_2011679,Seq_2011680,Seq_2011684,Seq_2011685,Seq_2011688,Seq_2011735,Seq_2011737,Seq_2011777,Seq_2011778,Seq_2011779,Seq_2011780,Seq_2011783,Seq_2011792,Seq_2011839,Seq_2011845,Seq_2011846,Seq_2011848,Seq_2011852,Seq_2011857,Seq_2011860,Seq_2011862,Seq_2011863,Seq_2011864,Seq_2011866,Seq_2011904,Seq_2011907,Seq_2011950,Seq_2011951,Seq_2011952,Seq_2011958,Seq_2011985,Seq_2011987,Seq_2011991,Seq_2011992,Seq_2011993,Seq_2011996,Seq_2011999,Seq_2012003,Seq_2012005,Seq_2012007,Seq_2012036,Seq_2012039,Seq_2012061,Seq_2012062,Seq_2012063,Seq_2012094
Seq_2261140	Seq_2261118,Seq_2261121,Seq_2261127,Seq_2261132,Seq_2261134,Seq_2261137,Seq_2261176,Seq_2261188,Seq_2261224,Seq_2261227,Seq_2261284,Seq_2261287,Seq_2261292,Seq_2261336,Seq_2261353,Seq_2261355,Seq_2261409,Seq_2261423,Seq_2261450,Seq_2261454,Seq_2261474,Seq_2261516,Seq_2261562,Seq_2261565,Seq_2261566,Seq_2261568,Seq_2261623,Seq_2261624,Seq_2261625,Seq_2261627,Seq_2261630,Seq_2261632,Seq_2261634,Seq_2261653,Seq_2261663,Seq_2261672,Seq_2261757,Seq_2261800,Seq_2261801,Seq_2261826,Seq_2261828,Seq_2261830,Seq_2261832,Seq_2261834,Seq_2261839,Seq_2261840,Seq_2261843,Seq_2261881,Seq_2261885,Seq_2261915,Seq_2261918,Seq_2261919,Seq_2261920,Seq_2261922,Seq_2261924,Seq_2261926,Seq_2261979,Seq_2261980,Seq_2261982,Seq_2261984,Seq_2261986,Seq_2261987,Seq_2261991,Seq_2261994,Seq_2261996,Seq_2261998,Seq_2261999,Seq_2262045,Seq_2262048,Seq_2262051,Seq_2262054,Seq_2262059,Seq_2262063,Seq_2262064,Seq_2262130,Seq_2262131,Seq_2262144,Seq_2262149,Seq_2262157,Seq_2262239,Seq_2262241,Seq_2262256,Seq_2262262,Seq_2262369,Seq_2262371,Seq_2262390,Seq_2262394,Seq_2262397,Seq_2262404,Seq_2262613,Seq_2262625,Seq_2262630,Seq_2262633,Seq_2262697,Seq_2262702,Seq_2262727,Seq_2262728,Seq_2262733,Seq_2262739,Seq_2262741,Seq_2262744,Seq_2262746,Seq_2262846,Seq_2262930,Seq_2262931,Seq_2263004,Seq_2263300,Seq_2263764,Seq_2263770,Seq_2263776,Seq_2263794,Seq_2263816,Seq_2263839,Seq_2263888,Seq_2263922,Seq_2263923
Seq_1112468	Seq_1112465,Seq_1112466,Seq_1112470,Seq_1112498,Seq_1112508,Seq_1112536,Seq_1112559,Seq_1112563,Seq_1112565,Seq_1112584,Seq_1112586,Seq_1112587,Seq_1112589,Seq_1112591,Seq_1112675,Seq_1112677,Seq_1112701,Seq_1112702,Seq_1112719,Seq_1112721,Seq_1112753,Seq_1112764,Seq_1112773,Seq_1112776,Seq_1112781,Seq_1112786,Seq_1112789,Seq_1112833,Seq_1112854,Seq_1112856,Seq_1112857,Seq_1112861,Seq_1112902,Seq_1112941,Seq_1112945,Seq_1112947,Seq_1112948,Seq_1112949,Seq_1113008,Seq_1113028,Seq_1113036,Seq_1113052,Seq_1113101,Seq_1113106,Seq_1113125,Seq_1113144,Seq_1113145,Seq_1113148,Seq_1113163,Seq_1113169,Seq_1113203,Seq_1113204,Seq_1113208,Seq_1113242,Seq_1113259,Seq_1113284,Seq_1113301,Seq_1113319,Seq_1113324,Seq_1113364,Seq_1113366,Seq_1113367,Seq_1113375,Seq_1113376,Seq_1113377,Seq_1113397,Seq_1113401,Seq_1113449,Seq_1113459,Seq_1113471,Seq_1113482,Seq_1113506,Seq_1113507,Seq_1113524,Seq_1113530,Seq_1113539,Seq_1113546,Seq_1113550,Seq_1113561,Seq_1113563,Seq_1113592,Seq_1113593,Seq_1113636,Seq_1113649,Seq_1113679,Seq_1113691,Seq_1113707,Seq_1113746,Seq_1113761,Seq_1113763,Seq_1113764,Seq_1113765,Seq_1113792,Seq_1113806,Seq_1113809,Seq_1113849,Seq_2426564,Seq_2426588,Seq_2426593,Seq_2426606,Seq_2426631,Seq_2426640,Seq_2426641,Seq_2426646,Seq_2426659,Seq_2426664,Seq_2426670,Seq_2426674
Seq_2010747	Seq_2010746,Seq_2010770,Seq_2010785,Seq_2010802,Seq_2010805,Seq_2010807,Seq_2010810,Seq_2010813,Seq_2010815,Seq_2010818,Seq_2010828,Seq_2010831,Seq_2010847,Seq_2010883,Seq_2010885,Seq_2010886,Seq_2010889,Seq_2010905,Seq_2010912,Seq_2010937,Seq_2010942,Seq_2010943,Seq_2010945,Seq_2010948,Seq_2010991,Seq_2010992,Seq_2010998,Seq_2011015,Seq_2011028,Seq_2011043,Seq_2011083,Seq_2011085,Seq_2011086,Seq_2011127,Seq_2011128,Seq_2011159,Seq_2011161,Seq_2011203,Seq_2011205,Seq_2011206,Seq_2011207,Seq_2011210,Seq_2011228,Seq_2011232,Seq_2011238,Seq_2011302,Seq_2011304,Seq_2011404,Seq_2011405,Seq_2011484,Seq_2011488,Seq_2011496,Seq_2011504,Seq_2011533,Seq_2011534,Seq_2011542,Seq_2011548,Seq_2011585,Seq_2011591,Seq_2011656,Seq_2011658,Seq_2011660,Seq_2011663,Seq_2011713,Seq_2011715,Seq_2011716,Seq_2011717,Seq_2011720,Seq_2011723,Seq_2011728,Seq_2011754,Seq_2011755,Seq_2011758,Seq_2011760,Seq_2011761,Seq_2011763,Seq_2011765,Seq_2011826,Seq_2011827,Seq_2011832,Seq_2011834,Seq_2011836,Seq_2011837,Seq_2011888,Seq_2011889,Seq_2011894,Seq_2011931,Seq_2011933,Seq_2011934,Seq_2011937,Seq_2011939,Seq_2011943,Seq_2011944,Seq_2011964,Seq_2011966,Seq_2011967,Seq_2011973,Seq_2011976,Seq_2011981,Seq_2012032,Seq_2012034,Seq_2012054,Seq_2012079,Seq_2012082,Seq_2012085,Seq_2012086,Seq_2012093
Seq_1627906	Seq_1627892,Seq_1627894,Seq_1627897,Seq_1627901,Seq_1627918,Seq_1627920,Seq_1627935,Seq_1627970,Seq_1627972,Seq_1627976,Seq_1627980,Seq_1627983,Seq_1628059,Seq_1628062,Seq_1628063,Seq_1628065,Seq_1628069,Seq_1628075,Seq_1628078,Seq_1628081,Seq_1628095,Seq_1628098,Seq_1628100,Seq_1628101,Seq_1628102,Seq_1628103,Seq_1628216,Seq_1628219,Seq_1628222,Seq_1628225,Seq_1628229,Seq_1628240,Seq_1628243,Seq_1628246,Seq_1628249,Seq_1628253,Seq_1628254,Seq_1628257,Seq_1628356,Seq_1628359,Seq_1628364,Seq_1628370,Seq_1628375,Seq_1628380,Seq_1628385,Seq_1628391,Seq_1628394,Seq_1628398,Seq_1628508,Seq_1628511,Seq_1628516,Seq_1628518,Seq_1628519,Seq_1628522,Seq_1628525,Seq_1628528,Seq_1628533,Seq_1628536,Seq_1628541,Seq_1628542,Seq_1628657,Seq_1628666,Seq_1628669,Seq_1628682,Seq_1628685,Seq_1628691,Seq_1628695,Seq_1628697,Seq_1628698,Seq_1628806,Seq_1628809,Seq_1628816,Seq_1628819,Seq_1628828,Seq_1628831,Seq_1628838,Seq_1628842,Seq_1628847,Seq_1628850,Seq_1628852,Seq_1628854,Seq_1628956,Seq_1628962,Seq_1628966,Seq_1628969,Seq_1628973,Seq_1628976,Seq_1628979,Seq_1628982,Seq_1628992,Seq_1629079,Seq_1629089,Seq_1629091,Seq_1629101,Seq_1629106,Seq_1629108,Seq_1629109,Seq_1629158,Seq_1629159,Seq_1629165,Seq_1629170,Seq_1629767,Seq_1629782,Seq_1629784
Seq_812190	Seq_812187,Seq_812214,Seq_812217,Seq_812292,Seq_812294,Seq_812301,Seq_812328,Seq_812340,Seq_812342,Seq_812388,Seq_812394,Seq_812422,Seq_812466,Seq_812480,Seq_812489,Seq_812513,Seq_812515,Seq_812518,Seq_812530,Seq_812554,Seq_812555,Seq_812583,Seq_812584,Seq_812605,Seq_812609,Seq_812611,Seq_812703,Seq_812704,Seq_812724,Seq_812732,Seq_812760,Seq_812798,Seq_812825,Seq_812829,Seq_812887,Seq_812888,Seq_812894,Seq_812896,Seq_812960,Seq_812963,Seq_812969,Seq_813034,Seq_813036,Seq_813038,Seq_813068,Seq_813069,Seq_813074,Seq_813082,Seq_813130,Seq_813133,Seq_813136,Seq_813183,Seq_813185,Seq_813204,Seq_813245,Seq_813266,Seq_813290,Seq_813292,Seq_813371,Seq_813372,Seq_813423,Seq_813431,Seq_813434,Seq_813437,Seq_813440,Seq_813442,Seq_813486,Seq_813494,Seq_813497,Seq_813503,Seq_813569,Seq_813573,Seq_813579,Seq_813585,Seq_813586,Seq_813639,Seq_813642,Seq_813689,Seq_813693,Seq_813698,Seq_813780,Seq_813781,Seq_813810,Seq_815216,Seq_815217,Seq_815219,Seq_815220,Seq_815221,Seq_815227,Seq_815229,Seq_815230,Seq_815234,Seq_815235,Seq_815241,Seq_815253,Seq_815259,Seq_815272,Seq_815274
Seq_351396	Seq_351401,Seq_351405,Seq_351423,Seq_351436,Seq_351437,Seq_351441,Seq_351442,Seq_351444,Seq_351450,Seq_351452,Seq_351466,Seq_351467,Seq_351481,Seq_351483,Seq_351497,Seq_351498,Seq_351508,Seq_351513,Seq_351515,Seq_351517,Seq_351554,Seq_351556,Seq_351558,Seq_351559,Seq_351560,Seq_351563,Seq_351641,Seq_351643,Seq_351645,Seq_351647,Seq_351651,Seq_351655,Seq_351657,Seq_351662,Seq_351663,Seq_351680,Seq_351682,Seq_351683,Seq_351685,Seq_351686,Seq_351688,Seq_351692,Seq_351694,Seq_351702,Seq_351711,Seq_351749,Seq_351751,Seq_351754,Seq_351755,Seq_351757,Seq_351784,Seq_351785,Seq_351786,Seq_351787,Seq_351788,Seq_351789,Seq_351791,Seq_351794,Seq_351821,Seq_351822,Seq_351825,Seq_351828,Seq_351829,Seq_351847,Seq_351849,Seq_351851,Seq_351871,Seq_351873,Seq_351878,Seq_351893,Seq_351895,Seq_351912,Seq_351924,Seq_351932,Seq_351935,Seq_351955,Seq_351957,Seq_351960,Seq_351964,Seq_351984,Seq_351985,Seq_352013,Seq_352016,Seq_352019,Seq_352048,Seq_352050,Seq_352055,Seq_352058,Seq_352063,Seq_352086,Seq_352136,Seq_352139,Seq_352142,Seq_352177,Seq_352186,Seq_352189,Seq_352201,Seq_874292
