Cluster_Rep.ID	Member_ID
Seq_1067309	Seq_1067260,Seq_1067269,Seq_1067274,Seq_1067279,Seq_1067282,Seq_1067285,Seq_1067288,Seq_1067291,Seq_1067297,Seq_1067305,Seq_1067390,Seq_1067398,Seq_1067401,Seq_1067404,Seq_1067495,Seq_1067499,Seq_1067502,Seq_1067505,Seq_1067508,Seq_1067581,Seq_1067584,Seq_1067587,Seq_1067590,Seq_1067593,Seq_1067670,Seq_1067674,Seq_1067678,Seq_1067681,Seq_1067684,Seq_1067687,Seq_1067690,Seq_1067699,Seq_1067777,Seq_1067786,Seq_1067789,Seq_1067792,Seq_1067795,Seq_1067797,Seq_1067874,Seq_1067877,Seq_1067880,Seq_1067985,Seq_1067986,Seq_1067988,Seq_1068043,Seq_1068050,Seq_1068055,Seq_1068058,Seq_1068064
Seq_2261729	Seq_2262103,Seq_2262208,Seq_2262335,Seq_2262340,Seq_2262343,Seq_2262346,Seq_2262348,Seq_2262359,Seq_2262483,Seq_2262486,Seq_2262492,Seq_2262497,Seq_2262500,Seq_2262510,Seq_2262516,Seq_2262519,Seq_2262524,Seq_2262570,Seq_2262573,Seq_2262576,Seq_2262579,Seq_2262585,Seq_2262588,Seq_2262603,Seq_2262605,Seq_2262608,Seq_2262668,Seq_2262672,Seq_2262678,Seq_2262843,Seq_2262953,Seq_2263866,Seq_2263887,Seq_2263899,Seq_2263914,Seq_2263920,Seq_2263946,Seq_2263952
Seq_1872247	Seq_1872238,Seq_1872239,Seq_1872240,Seq_1872244,Seq_1872246,Seq_1872249,Seq_1872332,Seq_1872334,Seq_1872395,Seq_1872403,Seq_1872406,Seq_1872407,Seq_1872409,Seq_1872576,Seq_1872577
Seq_2213045	Seq_2213059,Seq_2213116,Seq_2213127,Seq_2213129,Seq_2213131,Seq_2213144,Seq_2213156,Seq_2213157,Seq_2213175,Seq_2213177,Seq_2213181,Seq_2213225
Seq_1620387	Seq_1620377,Seq_1620378,Seq_1620379,Seq_1620380,Seq_1620382,Seq_1620383,Seq_1620384,Seq_1620386,Seq_1620686,Seq_1620687,Seq_1620689
Seq_1750915	Seq_1750901,Seq_1750953,Seq_1751033,Seq_1751104,Seq_1751107,Seq_1751110,Seq_1751112,Seq_1751118,Seq_1751157,Seq_1751172,Seq_1751173
Seq_1212090	Seq_1212112,Seq_1212456,Seq_1212494,Seq_1212517,Seq_1212525,Seq_1212526,Seq_1212578,Seq_1212888,Seq_1212949,Seq_1213499,Seq_1214549
Seq_268295	Seq_268290,Seq_268292,Seq_268375,Seq_268397,Seq_268426,Seq_268427,Seq_268445,Seq_268447,Seq_268451,Seq_268548,Seq_268593
Seq_812936	Seq_813207,Seq_813220,Seq_813231,Seq_813247,Seq_813294,Seq_813363,Seq_813366,Seq_813753,Seq_813933,Seq_813941
Seq_1066904	Seq_1066899,Seq_1066902,Seq_1066953,Seq_1066956,Seq_1067094,Seq_1067098,Seq_1067101,Seq_1067170,Seq_1067179,Seq_1067182
Seq_812460	Seq_812457,Seq_812485,Seq_812551,Seq_812734,Seq_812777,Seq_812779,Seq_812780,Seq_812791,Seq_812883
Seq_1322987	Seq_1323044,Seq_1323090,Seq_1323169,Seq_1323170,Seq_1323222,Seq_1323252,Seq_1323452,Seq_1323662
Seq_1066006	Seq_1065992,Seq_1066000,Seq_1066085,Seq_1066091,Seq_1066143,Seq_1066557,Seq_1068118,Seq_1070160
Seq_744180	Seq_744175,Seq_744178,Seq_744257,Seq_744267,Seq_744281,Seq_744316,Seq_744333,Seq_746300
Seq_2032221	Seq_2032228,Seq_2032244,Seq_2032245,Seq_2032248,Seq_2032251,Seq_2032267,Seq_2032269,Seq_2032365
Seq_937284	Seq_937357,Seq_937374,Seq_937379,Seq_937380,Seq_937383,Seq_937417,Seq_937423,Seq_937424
Seq_475954	Seq_475944,Seq_475948,Seq_476060,Seq_476087,Seq_476088,Seq_476162,Seq_476207,Seq_476215
Seq_236137	Seq_236162,Seq_236164,Seq_236213,Seq_236221,Seq_236231,Seq_236232,Seq_236236
Seq_1507312	Seq_1507290,Seq_1507404,Seq_1507483,Seq_1507493,Seq_1507560,Seq_1507821,Seq_1507895
Seq_285402	Seq_285389,Seq_285409,Seq_285465,Seq_286190,Seq_286262,Seq_286286,Seq_286297
Seq_2261307	Seq_2261383,Seq_2261402,Seq_2261445,Seq_2261503,Seq_2261505,Seq_2261508,Seq_2261611
Seq_486413	Seq_486494,Seq_486525,Seq_486527,Seq_486561,Seq_486584,Seq_486617,Seq_486622
Seq_375984	Seq_375978,Seq_375982,Seq_376045,Seq_376048,Seq_376050,Seq_376078
Seq_2196012	Seq_2196210,Seq_2196323,Seq_2196544,Seq_2196726,Seq_2196818,Seq_2196820
Seq_1088983	Seq_1088993,Seq_1088994,Seq_1089021,Seq_1089025,Seq_1089027,Seq_1089275
Seq_659847	Seq_659842,Seq_659845,Seq_659873,Seq_659920,Seq_659923,Seq_659926
Seq_1463734	Seq_1463209,Seq_1463228,Seq_1463229,Seq_1463343,Seq_1463397
Seq_1048993	Seq_1049029,Seq_1049044,Seq_1049055,Seq_1049058,Seq_1049079
Seq_1751567	Seq_1751190,Seq_1751214,Seq_1751398,Seq_1751413,Seq_1751428
Seq_137945	Seq_138346,Seq_138455,Seq_138481,Seq_138494,Seq_138556
Seq_910015	Seq_910050,Seq_910053,Seq_910104,Seq_910159,Seq_910162
Seq_100638	Seq_100642,Seq_100700,Seq_100713,Seq_100834,Seq_100888
Seq_510215	Seq_510304,Seq_510398,Seq_510419,Seq_510441,Seq_510455
Seq_376489	Seq_376494,Seq_376504,Seq_376508,Seq_376541,Seq_376592
Seq_2328278	Seq_2327968,Seq_2327971,Seq_2328314,Seq_2328316,Seq_2328351
Seq_268211	Seq_268213,Seq_268214,Seq_268231,Seq_268243,Seq_268244
Seq_2262160	Seq_2262139,Seq_2262244,Seq_2262253,Seq_2262377,Seq_2262384
Seq_490190	Seq_490186,Seq_490188,Seq_490477,Seq_490619
Seq_1641964	Seq_1641961,Seq_1641979,Seq_1642285,Seq_2435137
Seq_582603	Seq_582608,Seq_582627,Seq_582631,Seq_582632
Seq_188789	Seq_188775,Seq_188783,Seq_188785,Seq_188809
Seq_1585219	Seq_1585237,Seq_1585238,Seq_1585239,Seq_1585240
Seq_1806	Seq_1911,Seq_1939,Seq_2073,Seq_2173
Seq_2278479	Seq_2278784,Seq_2278838,Seq_2278847,Seq_2278950
Seq_136097	Seq_136101,Seq_136106,Seq_136112,Seq_136117
Seq_1546653	Seq_1546652,Seq_1546706,Seq_1546796,Seq_1546837
Seq_2195480	Seq_2195581,Seq_2195631,Seq_2195652,Seq_2195662
Seq_2094187	Seq_2094255,Seq_2094263,Seq_2094266,Seq_2094528
Seq_1456288	Seq_1456353,Seq_1456354,Seq_1456367,Seq_1456419
Seq_1726138	Seq_1726143,Seq_1726152,Seq_1726212,Seq_1726214
Seq_518625	Seq_518633,Seq_518666,Seq_518691,Seq_518693
Seq_2217491	Seq_2217692,Seq_2217727,Seq_2217747,Seq_2217853
Seq_2055313	Seq_2055304,Seq_2055444,Seq_2055512,Seq_2055530
Seq_567841	Seq_567847,Seq_567848,Seq_567858,Seq_567867
Seq_827897	Seq_827972,Seq_827974,Seq_827988,Seq_828008
Seq_1904245	Seq_1904242,Seq_1904279,Seq_1904282,Seq_1904287
Seq_955133	Seq_955131,Seq_955157,Seq_955159,Seq_955185
Seq_2363544	Seq_2363560,Seq_2363582,Seq_2363583,Seq_2363586
Seq_2231017	Seq_2231023,Seq_2231051,Seq_2231058
Seq_1963852	Seq_1963955,Seq_1964003,Seq_1964169
Seq_1621767	Seq_1621766,Seq_1621770,Seq_1621772
Seq_179207	Seq_179204,Seq_179217,Seq_179261
Seq_1593889	Seq_1593896,Seq_1593966,Seq_1593979
Seq_1894092	Seq_1894085,Seq_1894226,Seq_1894354
Seq_1798116	Seq_1798233,Seq_1798241,Seq_1798259
Seq_1838785	Seq_1838853,Seq_1838855,Seq_1838858
Seq_1065516	Seq_1065540,Seq_1065572,Seq_1065627
Seq_1711822	Seq_1711833,Seq_1711845,Seq_1712162
Seq_919534	Seq_919544,Seq_919555,Seq_919571
Seq_325226	Seq_325261,Seq_325316,Seq_325348
Seq_1402472	Seq_1402539,Seq_1402563,Seq_1402594
Seq_997439	Seq_997434,Seq_997451,Seq_997452
Seq_1608734	Seq_1608901,Seq_1608935,Seq_1608969
Seq_1812910	Seq_1812890,Seq_1812891,Seq_1812898
Seq_118665	Seq_118677,Seq_118678,Seq_118710
Seq_345863	Seq_345584,Seq_345621,Seq_345678
Seq_1098634	Seq_1098720,Seq_1098765,Seq_1098789
Seq_308881	Seq_308770,Seq_308883,Seq_308974
Seq_2054465	Seq_2054477,Seq_2054479,Seq_2054516
Seq_907395	Seq_907450,Seq_907481,Seq_908237
Seq_1491209	Seq_1491206,Seq_1491288,Seq_1491307
Seq_743946	Seq_744012,Seq_744013,Seq_744030
Seq_2202603	Seq_2202608,Seq_2202852,Seq_2202912
Seq_66705	Seq_66739,Seq_66745,Seq_66754
Seq_43324	Seq_43401,Seq_43403,Seq_43408
Seq_617162	Seq_617142,Seq_617150,Seq_617153
Seq_955345	Seq_955379,Seq_955426,Seq_955456
Seq_898371	Seq_898417,Seq_898585,Seq_898595
Seq_1095536	Seq_1095544,Seq_1095549,Seq_1095550
Seq_1291934	Seq_1291969,Seq_1291990,Seq_1292100
Seq_1625266	Seq_1625292,Seq_1625301,Seq_1625618
Seq_289127	Seq_289123,Seq_289163,Seq_289992
Seq_919324	Seq_919338,Seq_919342,Seq_919364
Seq_1335083	Seq_1335074,Seq_1335135,Seq_1335139
Seq_829068	Seq_829109,Seq_829149,Seq_829240
Seq_438574	Seq_438571,Seq_438592,Seq_438625
Seq_585943	Seq_585940,Seq_585941,Seq_585942
Seq_240039	Seq_240049,Seq_240122,Seq_240130
Seq_1240682	Seq_1240721,Seq_1240735,Seq_1240737
Seq_2356692	Seq_2356693,Seq_2356702,Seq_2356703
Seq_2378839	Seq_2378838,Seq_2378863,Seq_2378874
Seq_1263072	Seq_1263113,Seq_1263190,Seq_1263195
Seq_415077	Seq_415075,Seq_415076,Seq_415118
Seq_1748808	Seq_1748804,Seq_1748884,Seq_1748906
Seq_715409	Seq_715470,Seq_715488,Seq_715516
Seq_1616562	Seq_1616559,Seq_1616595,Seq_1616619
Seq_290085	Seq_289281,Seq_289292,Seq_289316
Seq_80339	Seq_80336,Seq_80345,Seq_80355
Seq_376102	Seq_376096,Seq_376099,Seq_376168
Seq_1738902	Seq_1738907,Seq_1738909,Seq_1738980
Seq_2278030	Seq_2278023,Seq_2278048,Seq_2278052
Seq_352585	Seq_352583,Seq_352608,Seq_352642
Seq_955212	Seq_955205,Seq_955220,Seq_955224
Seq_2196732	Seq_2196823,Seq_2196827,Seq_2196828
Seq_659888	Seq_659883,Seq_659910,Seq_659913
Seq_2083811	Seq_2083787,Seq_2083801,Seq_2083809
Seq_1242888	Seq_1242886,Seq_1242946
Seq_2002787	Seq_2002870,Seq_2002890
Seq_1699916	Seq_1699942,Seq_1699996
Seq_1578738	Seq_1578746,Seq_1578749
Seq_518735	Seq_518809,Seq_518826
Seq_1959599	Seq_1959724,Seq_1959746
Seq_1439662	Seq_1439692,Seq_1439718
Seq_108640	Seq_108668,Seq_108679
Seq_149225	Seq_149215,Seq_149318
Seq_2399207	Seq_2356981,Seq_2356992
Seq_1537472	Seq_1537486,Seq_1537574
Seq_706487	Seq_706493,Seq_706498
Seq_848222	Seq_848221,Seq_848324
Seq_689489	Seq_689529,Seq_689555
Seq_1507169	Seq_1507162,Seq_1507228
Seq_1047888	Seq_1047920,Seq_1047960
Seq_2066499	Seq_2066497,Seq_2066506
Seq_897577	Seq_897591,Seq_897631
Seq_1442879	Seq_1442893,Seq_1442920
Seq_1499230	Seq_1499236,Seq_1499252
Seq_358789	Seq_358799,Seq_358832
Seq_814769	Seq_814790,Seq_814793
Seq_1252042	Seq_1252123,Seq_1252152
Seq_1420434	Seq_1420432,Seq_1420438
Seq_1760984	Seq_1761021,Seq_1761075
Seq_100522	Seq_100533,Seq_100565
Seq_333859	Seq_333873,Seq_333889
Seq_1508238	Seq_1508271,Seq_1508291
Seq_1403848	Seq_1403850,Seq_1403862
Seq_1828463	Seq_1828471,Seq_1828627
Seq_723116	Seq_723115,Seq_723131
Seq_977658	Seq_977696,Seq_977703
Seq_1149896	Seq_1149943,Seq_1149946
Seq_298148	Seq_298160,Seq_298166
Seq_1749484	Seq_1749483,Seq_1749491
Seq_1481633	Seq_1481626,Seq_1481658
Seq_156097	Seq_156103,Seq_156121
Seq_582201	Seq_582212,Seq_582267
Seq_1535945	Seq_1535952,Seq_1535953
Seq_2324721	Seq_2324747,Seq_2324797
Seq_1137341	Seq_1137345,Seq_1137348
Seq_1219366	Seq_1219367,Seq_1219376
Seq_2180669	Seq_2180676,Seq_2180693
Seq_199860	Seq_199843,Seq_199956
Seq_1099024	Seq_1099042,Seq_1099054
Seq_1189129	Seq_1189142,Seq_1189149
Seq_1835996	Seq_1835994,Seq_1835995
Seq_758337	Seq_758340,Seq_758358
Seq_1095919	Seq_1095943,Seq_1095944
Seq_328861	Seq_328871,Seq_328905
Seq_522482	Seq_522471,Seq_522480
Seq_523501	Seq_523527,Seq_523537
Seq_830088	Seq_830127,Seq_830179
Seq_308970	Seq_308991,Seq_309009
Seq_1168293	Seq_1168279,Seq_1168305
Seq_671476	Seq_671489,Seq_671498
Seq_672270	Seq_672280,Seq_672308
Seq_1547991	Seq_1547997,Seq_1548009
Seq_1463753	Seq_1463754,Seq_1463816
Seq_1474956	Seq_1475272,Seq_1475275
Seq_406662	Seq_406659,Seq_406677
Seq_547496	Seq_547505,Seq_547510
Seq_830197	Seq_830193,Seq_830243
Seq_1042944	Seq_1042952,Seq_1043001
Seq_1281821	Seq_1281850,Seq_1281883
Seq_1850571	Seq_1850567,Seq_1850597
Seq_111710	Seq_111742,Seq_111752
Seq_224313	Seq_224316,Seq_224344
Seq_649778	Seq_649781,Seq_649783
Seq_2180143	Seq_2180142,Seq_2180150
Seq_2004158	Seq_2004195,Seq_2004207
Seq_2301488	Seq_2301473,Seq_2301519
Seq_896225	Seq_896224,Seq_896255
Seq_1848347	Seq_1848391,Seq_1848394
Seq_2195859	Seq_2195943,Seq_2196475
Seq_502452	Seq_502449,Seq_502457
Seq_2312136	Seq_2312135,Seq_2312139
Seq_2418485	Seq_2418489,Seq_2418656
Seq_470883	Seq_470890,Seq_470911
Seq_812337	Seq_812334,Seq_812402
Seq_853894	Seq_853990,Seq_853994
Seq_1156260	Seq_1156330,Seq_1156352
Seq_1173327	Seq_1173324,Seq_1173335
Seq_394584	Seq_394699,Seq_394747
Seq_2096820	Seq_2096831,Seq_2096859
Seq_312438	Seq_312454,Seq_312508
Seq_717072	Seq_717168,Seq_717175
Seq_2418367	Seq_2418375,Seq_2418387
Seq_1291805	Seq_1291824,Seq_1291909
Seq_1310399	Seq_1310410,Seq_1310413
Seq_788072	Seq_788084,Seq_788086
Seq_1608973	Seq_1609082,Seq_1609334
Seq_712640	Seq_712670,Seq_712675
Seq_805548	Seq_805550,Seq_805556
Seq_675755	Seq_675752,Seq_675769
Seq_1668722	Seq_1668748,Seq_1668773
Seq_712691	Seq_712707,Seq_712720
Seq_853722	Seq_853737,Seq_853741
Seq_268534	Seq_268532,Seq_268555
Seq_1373371	Seq_1373390,Seq_1373402
Seq_883638	Seq_883647,Seq_883674
Seq_1241512	Seq_1241518,Seq_1241526
Seq_1767789	Seq_1767796,Seq_1767802
Seq_1705942	Seq_1705950,Seq_1705956
Seq_1107734	Seq_1107920,Seq_1107960
Seq_155769	Seq_155766,Seq_155767
Seq_937747	Seq_937803,Seq_937831
Seq_1323256	Seq_1323476,Seq_1323490
Seq_1678369	Seq_1678379,Seq_1678440
Seq_898894	Seq_898899,Seq_898941
Seq_1980813	Seq_1980816,Seq_1980822
Seq_672399	Seq_672405,Seq_672447
Seq_978866	Seq_978865,Seq_978905
Seq_812538	Seq_812619,Seq_812681
Seq_1035341	Seq_1035349,Seq_1035359
Seq_1573147	Seq_1573155,Seq_1573157
Seq_2054845	Seq_2055171,Seq_2055211
Seq_1052123	Seq_1052122,Seq_1052132
Seq_2325867	Seq_2325874,Seq_2325875
Seq_424628	Seq_424634,Seq_424659
Seq_229627	Seq_229644,Seq_229662
Seq_1269276	Seq_1269286,Seq_1269291
Seq_710554	Seq_710562,Seq_710575
Seq_978833	Seq_978839,Seq_978850
Seq_767994	Seq_768003,Seq_768013
Seq_1670859	Seq_1670806,Seq_1670812
Seq_2309298	Seq_2309302,Seq_2309307
Seq_39462	Seq_39481,Seq_39485
Seq_978647	Seq_978671,Seq_978681
Seq_1204596	Seq_1204593,Seq_1204606
Seq_1332995	Seq_1333007,Seq_1333013
Seq_1074430	Seq_1074428,Seq_1074436
Seq_516293	Seq_516302,Seq_516340
Seq_764598	Seq_764594,Seq_764597
Seq_1418724	Seq_1418718,Seq_1418721
Seq_2261533	Seq_2261518,Seq_2261524
Seq_1178884	Seq_1178893,Seq_1178897
Seq_1582200	Seq_1582203,Seq_1582204
Seq_1311857	Seq_1311856,Seq_1311873
Seq_1251388	Seq_1251410,Seq_1251421
Seq_2371163	Seq_2371165,Seq_2371168
Seq_388709	Seq_388712,Seq_388713
Seq_2222383	Seq_2222583,Seq_2222629
Seq_2112208	Seq_2112202,Seq_2112272
Seq_556713	Seq_556709,Seq_556711
Seq_1398129	Seq_1398147
Seq_326679	Seq_326702
Seq_757441	Seq_757555
Seq_1862696	Seq_1862705
Seq_576284	Seq_576283
Seq_136406	Seq_136411
Seq_1885701	Seq_1885403
Seq_1263755	Seq_1263488
Seq_1415023	Seq_1415028
Seq_875920	Seq_875942
Seq_1068694	Seq_1068698
Seq_1535793	Seq_1535852
Seq_1254068	Seq_1254104
Seq_2312893	Seq_2312904
Seq_612198	Seq_612278
Seq_194525	Seq_194560
Seq_1299113	Seq_1299114
Seq_938466	Seq_938576
Seq_1094104	Seq_1094102
Seq_1959938	Seq_1959958
Seq_2175055	Seq_2175056
Seq_312101	Seq_312111
Seq_2234178	Seq_2234200
Seq_1289303	Seq_1289317
Seq_2442584	Seq_880055
Seq_344122	Seq_344125
Seq_1253395	Seq_1253433
Seq_1402354	Seq_1402516
Seq_2182268	Seq_2182278
Seq_154739	Seq_154743
Seq_1781833	Seq_1781830
Seq_1943440	Seq_1943488
Seq_2226717	Seq_2226723
Seq_307921	Seq_307918
Seq_315701	Seq_315710
Seq_1396401	Seq_1396441
Seq_1611142	Seq_1611216
Seq_2191069	Seq_2191106
Seq_2200594	Seq_2200606
Seq_1174660	Seq_1174694
Seq_14714	Seq_14721
Seq_245210	Seq_245245
Seq_671069	Seq_671070
Seq_608505	Seq_608528
Seq_699693	Seq_699743
Seq_1495075	Seq_1495111
Seq_1583005	Seq_1583020
Seq_1635158	Seq_1635199
Seq_2286752	Seq_2286813
Seq_214387	Seq_214484
Seq_1000579	Seq_1000577
Seq_1784823	Seq_1784342
Seq_340213	Seq_340239
Seq_1383365	Seq_1383389
Seq_1516837	Seq_1516848
Seq_441847	Seq_441856
Seq_108137	Seq_108163
Seq_397793	Seq_397800
Seq_560650	Seq_560651
Seq_852685	Seq_852467
Seq_1690008	Seq_1690063
Seq_2044581	Seq_2044580
Seq_604217	Seq_604261
Seq_2190140	Seq_2190176
Seq_2326185	Seq_2326211
Seq_1187272	Seq_1187277
Seq_1465120	Seq_1465132
Seq_1794951	Seq_1795029
Seq_1959510	Seq_1959518
Seq_1037957	Seq_1037981
Seq_1147071	Seq_1147079
Seq_1835945	Seq_1835356
Seq_2363715	Seq_2363806
Seq_482721	Seq_482642
Seq_1083204	Seq_1083218
Seq_1513005	Seq_1513006
Seq_1517124	Seq_1517196
Seq_1777722	Seq_1777078
Seq_1781930	Seq_1781971
Seq_1834395	Seq_1834397
Seq_2277975	Seq_2277980
Seq_354572	Seq_354635
Seq_1152457	Seq_1152488
Seq_1554510	Seq_1554547
Seq_278488	Seq_278486
Seq_1535914	Seq_1535928
Seq_1750710	Seq_1750766
Seq_2276014	Seq_2276013
Seq_477724	Seq_477764
Seq_819538	Seq_819541
Seq_100597	Seq_100617
Seq_177399	Seq_177449
Seq_366425	Seq_366455
Seq_523628	Seq_523109
Seq_610694	Seq_610709
Seq_659055	Seq_659104
Seq_1535584	Seq_1535648
Seq_1728588	Seq_1728602
Seq_625549	Seq_625552
Seq_1103569	Seq_1103604
Seq_2169261	Seq_2169277
Seq_232162	Seq_232176
Seq_344209	Seq_344216
Seq_977713	Seq_977725
Seq_1156760	Seq_1156772
Seq_1186709	Seq_1186751
Seq_1595289	Seq_1595297
Seq_1962674	Seq_1962672
Seq_419284	Seq_419287
Seq_857831	Seq_857867
Seq_1054053	Seq_1054067
Seq_1758117	Seq_1758159
Seq_1947964	Seq_1947969
Seq_2160219	Seq_2160227
Seq_344047	Seq_344071
Seq_814680	Seq_814686
Seq_2231402	Seq_2231417
Seq_2362861	Seq_2362863
Seq_1757996	Seq_1758015
Seq_1808034	Seq_1808042
Seq_1860515	Seq_1860571
Seq_2025843	Seq_2025845
Seq_2121323	Seq_2121348
Seq_2309652	Seq_2309671
Seq_2321598	Seq_2321601
Seq_220185	Seq_220198
Seq_493099	Seq_493102
Seq_514995	Seq_514998
Seq_600928	Seq_600939
Seq_790366	Seq_790369
Seq_1211201	Seq_1211235
Seq_1443564	Seq_1443565
Seq_1538550	Seq_1538556
Seq_2048699	Seq_2048697
Seq_2123303	Seq_2123313
Seq_677022	Seq_677037
Seq_994107	Seq_994124
Seq_1793298	Seq_1793312
Seq_1831823	Seq_1831824
Seq_1841649	Seq_1841671
Seq_443979	Seq_443992
Seq_1303424	Seq_1303484
Seq_1584849	Seq_1584866
Seq_1695697	Seq_1695718
Seq_2279510	Seq_2279522
Seq_346958	Seq_346977
Seq_563089	Seq_563110
Seq_2343461	Seq_2343158
Seq_161931	Seq_161930
