ID	Gene ID	Trans.ID
>Seq_18	ENSG00000000003	ENST00000373020
>Seq_42	ENSG00000000419	ENST00000371582
>Seq_51	ENSG00000000419	ENST00000371588
>Seq_52	ENSG00000000419	ENST00000371588
>Seq_128	ENSG00000000419	ENST00000371588
>Seq_162	ENSG00000000419	ENST00000371588
>Seq_164	ENSG00000000419	ENST00000371588
>Seq_165	ENSG00000000419	ENST00000371588
>Seq_190	ENSG00000000457	ENST00000367771
>Seq_195	ENSG00000000457	ENST00000367771
>Seq_211	ENSG00000000457	ENST00000367771
>Seq_217	ENSG00000000457	ENST00000367771
>Seq_241	ENSG00000000457	ENST00000367771
>Seq_284	ENSG00000000460	ENST00000286031
>Seq_286	ENSG00000000460	ENST00000286031
>Seq_298	ENSG00000000460	ENST00000286031
>Seq_308	ENSG00000000460	ENST00000286031
>Seq_377	ENSG00000000460	ENST00000286031
>Seq_441	ENSG00000000938	ENST00000374005
>Seq_456	ENSG00000000938	ENST00000374005
>Seq_517	ENSG00000000971	ENST00000367429
>Seq_590	ENSG00000001036	ENST00000002165
>Seq_596	ENSG00000001036	ENST00000002165
>Seq_622	ENSG00000001036	ENST00000002165
>Seq_678	ENSG00000001036	ENST00000002165
>Seq_727	ENSG00000001036	ENST00000002165
>Seq_729	ENSG00000001036	ENST00000002165
>Seq_745	ENSG00000001036	ENST00000002165
>Seq_846	ENSG00000001084	ENST00000229416
>Seq_872	ENSG00000001084	ENST00000229416
>Seq_888	ENSG00000001084	ENST00000229416
>Seq_906	ENSG00000001084	ENST00000229416
>Seq_933	ENSG00000001084	ENST00000229416
>Seq_938	ENSG00000001084	ENST00000229416
>Seq_969	ENSG00000001084	ENST00000229416
>Seq_1022	ENSG00000001167	ENST00000341376
>Seq_1039	ENSG00000001167	ENST00000341376
>Seq_1050	ENSG00000001167	ENST00000341376
>Seq_1074	ENSG00000001167	ENST00000341376
>Seq_1115	ENSG00000001167	ENST00000341376
>Seq_1141	ENSG00000001460	ENST00000003583
>Seq_1178	ENSG00000001461	ENST00000003912
>Seq_1181	ENSG00000001461	ENST00000003912
>Seq_1209	ENSG00000001461	ENST00000003912
>Seq_1464	ENSG00000001461	ENST00000003912
>Seq_1503	ENSG00000001497	ENST00000374804
>Seq_1509	ENSG00000001497	ENST00000374804
>Seq_1527	ENSG00000001497	ENST00000374804
>Seq_1565	ENSG00000001497	ENST00000374804
>Seq_1660	ENSG00000001497	ENST00000374804
>Seq_1666	ENSG00000001497	ENST00000374804
>Seq_1783	ENSG00000001497	ENST00000374804
>Seq_1879	ENSG00000001497	ENST00000374804
>Seq_2075	ENSG00000001497	ENST00000374804
>Seq_2141	ENSG00000001497	ENST00000374804
>Seq_2224	ENSG00000001497	ENST00000374804
>Seq_2227	ENSG00000001497	ENST00000374804
>Seq_2256	ENSG00000001497	ENST00000374804
>Seq_2279	ENSG00000001497	ENST00000374804
>Seq_2293	ENSG00000001497	ENST00000374811
>Seq_2335	ENSG00000001497	ENST00000374811
>Seq_2385	ENSG00000001497	ENST00000374811
>Seq_2448	ENSG00000001561	ENST00000321037
